user_id,username,email,age,monthly_income,financial_goals,risk_tolerance,location
1,brooke86,gregorybeard@example.net,53,7252,House Down Payment,Aggressive,"Lake Michelleville, Montana"
2,dpierce,robertcook@example.com,49,7014,House Down Payment,Aggressive,"Amberborough, California"
3,robin10,rcurtis@example.org,25,10877,Vacation,Aggressive,"North Stephen, North Dakota"
4,michelleyoung,pamelamorgan@example.net,27,7723,Emergency Fund,Moderate,"North Virginiaside, Alabama"
5,christopherjackson,stanleysara@example.org,35,8177,House Down Payment,Conservative,"West Christina, New Hampshire"
6,angelamiller,laura31@example.net,23,5373,Emergency Fund,Moderate,"Annamouth, Alaska"
7,garycosta,keith22@example.org,50,5999,Vacation,Moderate,"Port Johnside, New Jersey"
8,nicholasholloway,greenedouglas@example.net,51,7450,House Down Payment,Conservative,"West Jeffreytown, Tennessee"
9,afletcher,lisawilson@example.org,42,6548,Retirement,Moderate,"New Anne, Rhode Island"
10,karenchapman,cmurphy@example.net,53,4145,House Down Payment,Aggressive,"Bakerport, Michigan"
